devolution_id,devolution_number,store_id,status,created_at,reversed_at,reversed_by,reversal_reason,original_transaction_id,product_id,quantity,unit_price,audit_creation,stock_movements_linked,kardex_linked,classification
379122c3-ceab-4e51-8ac3-5cf0de8beb28,DEV-2026-828651,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-04T07:30:51.150879+00:00,,,,,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
74cfd314-45c3-47a0-bd48-5e6f16b58b44,NC-000001-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T03:30:00.537152+00:00,,,,92222444-c1b6-4fca-b75e-1f631da2bd17,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
2a7934b7-9503-48cd-9240-c7606b486eb7,NC-000002-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T04:40:22.560617+00:00,,,,dd3d9c13-24a5-4aac-b13c-116d5fd02452,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
8bb4cfe5-2abf-4c4d-81fe-4ac33de732eb,NC-000003-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T23:10:25.820118+00:00,,,,add15f2b-a5e3-4203-a9dd-eaf081795078,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
0778b5d5-bf72-4d9b-b9f7-e4192a29d33f,NC-000004-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T23:12:11.580593+00:00,,,,7360812f-8c49-4494-a5ae-b47affd80dfe,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
a11e7aa5-863a-4e61-a041-04d33d1f66d2,NC-000005-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T23:22:10.228564+00:00,,,,dd9a46fc-8e8c-40af-8bab-38ae44d5fdf8,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
6c051892-b5ac-4fd6-be9b-546458119b96,NC-000006-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T23:27:29.313767+00:00,,,,,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
0b7213e9-344a-4aa0-876d-316be9c6ff2e,NC-000007-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,reversed,2026-08-06T23:27:41.661518+00:00,2026-08-06T23:27:43.117368+00:00,a1111111-1111-1111-1111-111111111111,Reverse dev 1786058841,edb274bd-e2e1-4001-8932-13674d13d2b9,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,REPAIR_REQUIRED_EVALUATED:NO_REPAIR_REQUIRED
42f89372-a76c-4e45-b2c7-a14252723f3e,NC-000008-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T23:29:21.463226+00:00,,,,4cde56a3-4685-4ff5-8998-1f0ead6df3e3,da1c4090-3e10-4120-a2bc-24da53cffe16,999,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
def14222-1dc4-469d-9053-ddfbd28db7e8,NC-000009-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T23:42:58.886691+00:00,,,,94d94f47-5787-487e-81b5-7648cec6d50b,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
fb98424e-cf04-4fcf-ba65-099696179e2c,NC-000010-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-06T23:50:11.908653+00:00,,,,89638d16-5ce9-4785-a324-e1b2a15273e9,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
903269d5-e624-4e52-958d-48e8bb84bde1,NC-000011-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-07T00:00:54.348822+00:00,,,,a82fd929-1418-4ce0-a393-3ce562f68af1,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
c249cdcc-e0f8-43d6-b9c4-10e16daab9f3,NC-000012-2026,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,completed,2026-08-07T00:58:01.627486+00:00,,,,f062bb42-a231-4bfc-a1c8-74c8630779e3,da1c4090-3e10-4120-a2bc-24da53cffe16,1,350,DEVOLUTION_CREATED_V2,0,movement_rows_for_dev=0,NO_REPAIR_REQUIRED
