devolution_id,state,audit_actions,audit_timestamps,reverse_audit_gap,actor_analysis
379122c3-ceab-4e51-8ac3-5cf0de8beb28,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-04T07:30:51.150879+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
74cfd314-45c3-47a0-bd48-5e6f16b58b44,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T03:30:00.537152+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
2a7934b7-9503-48cd-9240-c7606b486eb7,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T04:40:22.560617+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
8bb4cfe5-2abf-4c4d-81fe-4ac33de732eb,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T23:10:25.820118+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
0778b5d5-bf72-4d9b-b9f7-e4192a29d33f,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T23:12:11.580593+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
a11e7aa5-863a-4e61-a041-04d33d1f66d2,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T23:22:10.228564+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
6c051892-b5ac-4fd6-be9b-546458119b96,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T23:27:29.313767+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
0b7213e9-344a-4aa0-876d-316be9c6ff2e,REVERSED,DEVOLUTION_CREATED_V2,2026-08-06T23:27:41.661518+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor reversal conocido vía columna devolutions.reversed_by=a1111111-1111-1111-1111-111111111111 (p_user_id service_role); NO se inventa identidad
42f89372-a76c-4e45-b2c7-a14252723f3e,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T23:29:21.463226+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
def14222-1dc4-469d-9053-ddfbd28db7e8,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T23:42:58.886691+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
fb98424e-cf04-4fcf-ba65-099696179e2c,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-06T23:50:11.908653+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
903269d5-e624-4e52-958d-48e8bb84bde1,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-07T00:00:54.348822+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
c249cdcc-e0f8-43d6-b9c4-10e16daab9f3,COMPLETED,DEVOLUTION_CREATED_V2,2026-08-07T00:58:01.627486+00:00,"REVERSE_DEVOLUTION_AUDIT=NONE (pre-B-10 no dejaba rastro de auditoría — histórico, no fabricable)",actor=N/A (nunca revertida)
GLOBAL,-,STORE_BACKUP_RESTORE / STORE_BACKUP_RESTORE_DRYRUN (2026-07-23) + mecanismo reset_store_data live (2 overloads),-,La purga de tienda (movements/inventory/kardex/transactions de d1c4ba0e) es efecto de este mecanismo — evento separado,SEPARATE_FINDING
