NC_ID,DOCUMENT_NUMBER,EXISTE,ESTADO,TIENDA,FECHA,ORIGINAL_TX,ORIGINAL_TX_EN_AUDIT,ITEMS,CANTIDAD,PRECIO_UNIT,TOTAL,ITEMS_VS_TOTAL,MOVIMIENTOS,KARDEX,TRANSACCIONES_FIN,EFECTIVO_SCOPED,CREDITO,AUDITORIA,AUDIT_ACTION,INVENTORY_EFFECT_CLASSIFICATION,CLASIFICACION,ETIQUETA_SECUNDARIA
379122c3-ceab-4e51-8ac3-5cf0de8beb28,DEV-2026-828651,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-04 07:30:51Z,NULL,NULL,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
74cfd314-45c3-47a0-bd48-5e6f16b58b44,NC-000001-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 03:30:00Z,NULL,92222444-c1b6-4fca-b75e-1f631da2bd17,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
2a7934b7-9503-48cd-9240-c7606b486eb7,NC-000002-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 04:40:22Z,NULL,dd3d9c13-24a5-4aac-b13c-116d5fd02452,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
8bb4cfe5-2abf-4c4d-81fe-4ac33de732eb,NC-000003-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 23:10:25Z,NULL,add15f2b-a5e3-4203-a9dd-eaf081795078,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
0778b5d5-bf72-4d9b-b9f7-e4192a29d33f,NC-000004-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 23:12:11Z,NULL,7360812f-8c49-4494-a5ae-b47affd80dfe,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
a11e7aa5-863a-4e61-a041-04d33d1f66d2,NC-000005-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 23:22:10Z,NULL,dd9a46fc-8e8c-40af-8bab-38ae44d5fdf8,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
6c051892-b5ac-4fd6-be9b-546458119b96,NC-000006-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 23:27:29Z,NULL,NULL,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
0b7213e9-344a-4aa0-876d-316be9c6ff2e,NC-000007-2026,SI,reversed,TIENDA CENTRAL COSTPRO,2026-08-06 23:27:41Z,NULL,edb274bd-e2e1-4001-8932-13674d13d2b9,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,NO_EFFECT (reversal found nothing to compensate; 0 movements either way),TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT (REVERSED_DOCUMENT)
42f89372-a76c-4e45-b2c7-a14252723f3e,NC-000008-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 23:29:21Z,NULL,4cde56a3-4685-4ff5-8998-1f0ead6df3e3,1,999.00,350.00,349650.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
def14222-1dc4-469d-9053-ddfbd28db7e8,NC-000009-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 23:42:58Z,NULL,94d94f47-5787-487e-81b5-7648cec6d50b,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
fb98424e-cf04-4fcf-ba65-099696179e2c,NC-000010-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-06 23:50:11Z,NULL,89638d16-5ce9-4785-a324-e1b2a15273e9,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
903269d5-e624-4e52-958d-48e8bb84bde1,NC-000011-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-07 00:00:54Z,NULL,a82fd929-1418-4ce0-a393-3ce562f68af1,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)
c249cdcc-e0f8-43d6-b9c4-10e16daab9f3,NC-000012-2026,SI,completed,TIENDA CENTRAL COSTPRO,2026-08-07 00:58:01Z,NULL,f062bb42-a231-4bfc-a1c8-74c8630779e3,1,1.00,350.00,350.00,MATCH,0,0,0,0,0,1,DEVOLUTION_CREATED_V2,EFFECT_PURGED,TEST_RESIDUE,NO_CURRENT_ECONOMIC_EFFECT + CURRENT_REPORTING_EFFECT (tax report line only)

# NOTES: precio_unit derived (total/qty; items lack explicit unit-price mismatch: items.total==doc.total for all 13).
# 13/13: original_transaction_id NULL in table BUT era audit metadata preserves original_tx for 11 of 13 (DEV-828651 and NC-000006 created with no original by design of the test).
# Current product CAT-0002 stock (independently provenanced, NOT from NC effects): 966.0000
# Transactions table for TIENDA CENTRAL: 0 rows (purged 2026-08-17 by direct store-scoped SQL, repair-design F4.1).
