product_id,sku,name,store_id,stock_current,cost_average,created_at,updated_at,status,is_active,has_movements,min_stock,price,cost_price,inventory_quantity,inventory_updated_at,movements_cnt,kardex_cnt,sale_items_cnt
e47421ea-f9aa-452b-b20b-4601ec12410f,CAT-0001,Abrazade metálica de 3/4,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,19.0000,489.9999999999999700,2026-07-30 03:00:03.052135+00,2026-07-30 03:00:32.89037+00,ACTIVE,true,true,5.0000,350,244.99999999999997,MISSING,,0,0,0
da1c4090-3e10-4120-a2bc-24da53cffe16,CAT-0002,Abrazade metálica de 1 pulgada,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,966.0000,11.919422583856775,2026-07-30 03:00:03.824094+00,2026-08-16 22:01:13.103154+00,ACTIVE,true,true,5.0000,350,244.99999999999997,MISSING,,0,0,0
c4870c06-9332-4db2-b060-70d1fa8ea90c,CAT-0003,Araganes,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,4.0000,2240.0000000000000000,2026-07-30 03:00:04.535744+00,2026-08-02 01:16:41.6968+00,ACTIVE,true,true,5.0000,1600,1120,MISSING,,0,0,0
7d0751af-9fa4-4876-84b7-a28520f299d7,CAT-0004,Bisagra,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,4.0000,5600.0000000000000000,2026-07-30 03:00:04.805874+00,2026-07-30 03:00:32.89037+00,ACTIVE,true,true,5.0000,4000,2800,MISSING,,0,0,0
69824282-4994-4615-aaf2-896466f9e781,CAT-0005,Brecker 16A Sencillo,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,4.0000,2800.0000000000000000,2026-07-30 03:00:05.062076+00,2026-07-30 03:00:32.89037+00,ACTIVE,true,true,5.0000,2000,1400,MISSING,,0,0,0
0e9d781a-4eed-42ef-baa2-09b3ea1d990c,CAT-0006,Brecker 25 A Sencillo,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,2.0000,2800.0000000000000000,2026-07-30 03:00:05.319227+00,2026-07-30 03:00:32.89037+00,ACTIVE,true,true,5.0000,2000,1400,MISSING,,0,0,0
e65916ea-9ca2-4e25-a78f-6be15b46a912,CAT-0007,Brecker 32A Trifasico,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,1.0000,4200.0000000000000000,2026-07-30 03:00:05.576355+00,2026-07-30 03:00:32.89037+00,ACTIVE,true,true,5.0000,3000,2100,MISSING,,0,0,0
dfe95aa3-967c-4383-9664-2e8abf7ba7fd,CAT-0008,Brecker C32 A Trible,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,0.0000,8400.0000000000000000,2026-07-30 03:00:05.828182+00,2026-07-16 12:00:00+00,ACTIVE,true,true,5.0000,6000,4200,MISSING,,0,0,0
08c9acfd-e10d-44f2-b25f-870d632dbe18,CAT-0009,Brecker D63 A,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,38.0000,15749.99999999999900,2026-07-30 03:00:06.091751+00,2026-07-30 03:00:32.89037+00,ACTIVE,true,true,5.0000,25,7874.999999999999,MISSING,,0,0,0
5dd7ff57-9c62-4431-baba-229f9cf62acf,CAT-0010,Brida 58,d1c4ba0e-5767-4ba0-e576-7d1c4ba0e576,2.0000,210.0000000000000000,2026-07-30 03:00:06.354287+00,2026-08-16 21:21:29.396686+00,ACTIVE,true,true,5.0000,150,105,MISSING,,0,0,0
